"";"Country";"HDI";"Life.exp";"Exp.school.";"Mean.school";"GNI";"HDI.FM";"Life.expFM";"Exp.SchoolFM";"Mean.SchoolFM";"Est.GNIFM";"Edu2.FM";"Labour.FM";"fert";"mean04";"mean.length";"child.mort"
"49";"Ethiopia";0,441815954384227;64,1;8,5;2,412325859;1427,671464;0,840206912032669;1,06109324758842;0,888888888888889;0,40447649921678;0,617886162891079;0,427178503889388;0,875699822904038;4,4;10,4400630393931;21;138
"50";"Fiji";0,727135774475926;70;15,7;9,91218949;7492,511041;0,940780106633391;1,08928571428571;1,03317941757764;0,98802875202221;0,403539455432938;0,9955017837754;0,520833333333333;2,56;2,7922929763127;21;65
"51";"Finland";0,882727786825495;80,8;17,06943;10,286;38694,76981;0,996417800672354;1,07179487179487;1,0707380803595;1,00591133004926;0,688006629667221;1;0,8703125125;1,85;NA;0;52
"52";"France";0,888107436522597;82,2;16,00167;11,13314915;38056,35627;0,986802873873798;1,07449494949495;1,04698962052772;0,967537449488328;0,682955592553586;0,937561938467625;0,823051981080811;1,98;NA;0;99
"53";"Gabon";0,683512931952251;64,4;12,49507;7,7998665;16366,92848;NA;1,01880877742947;NA;1,34214618981284;0,705376954898149;1,49197120708749;0,859327209648458;4,03;1,98628378103219;21;125
"54";"Gambia";0,440649497387748;60,2;8,76932;2,82;1507,327346;0,888568949213965;1,04584040747029;0,982104609127881;0,547683923705722;0,722874512339523;0,552096569250318;0,870928776762447;5,72;18,5373207658463;21;151
"55";"Georgia";0,75411864105962;74,9;13,79685;12,11;7164,025639;0,961757076384991;1,10112359550562;1,03433938260166;0,979146702650573;0,502887565785374;0,967608374068272;0,752330241391416;1,82;6,12452862398826;14;19
"56";"Germany";0,916079907698891;80,9;16,45695;13,06677702;43918,53597;0,963000529225753;1,06114649681529;0,981909006052212;0,939672109431086;0,6546364796209;0,992342226280607;0,807228874836697;1,43;NA;0;83
"57";"Ghana";0,579090286681072;61,4;11,50262;6,999;3852,00413;0,885382296554672;1,03145695364238;0,911742524086813;0,709629092483904;0,708884623378155;0,698994437736297;0,942577054427653;3,8;10,1655623792541;21;140
"58";"Greece";0,86518718080572;80,9;17,628;10,26;24524,14614;0,960565609985478;1,07435897435897;1,00853627689805;0,937849516667699;0,541063019167953;0,888217439688976;0,7072000128;1,54;NA;0;98
"59";"Grenada";0,74999317959942;73,4;15,80328;8,552604;10939,006;NA;1,06901408450704;1,06232185230553;NA;NA;NA;NA;2,15;5,57893428502636;19;17
"60";"Guatemala";0,627208787889758;71,8;10,69;5,599730015;6929,192667;0,948700039794571;1,10248901903367;0,932018564860618;0,959023533568657;0,562019193474854;0,943121521044102;0,558956926675357;3,72;1,73490369049433;21;85
"61";"Guinea";0,411281627403836;58,8;8,70075;2,417763;1095,756085;0,778284293928319;1,01543739279588;0,734050819721506;0,368262333455862;0,667458383932967;NA;0,83780326823512;4,83;10,4671955869579;19;174
"62";"Guinea-Bissau";0,419605069662974;55,2;9,0491;2,832866333;1362,353835;NA;1,06741573033708;NA;NA;0,712617987964079;NA;0,868789769426752;4,87;47,0189302330921;21;173
"63";"Guyana";0,635715749290017;66,4;10,29144;8,533;6521,655155;0,983577603708991;1,07165109034268;1,19075648756691;1,11485642946317;0,472942133948358;1,26224361657597;0,529192527950311;2,5;20,6641725421118;21;103
"64";"Haiti";0,483373299262551;62,8;8,67;4,8776105;1668,713418;NA;1,06919275123558;NA;0,755389025896048;0,701284070430227;0,636725412166003;0,8577465;3,09;7,98904407439266;1;150
"65";"Honduras";0,606054607560755;73,1;11,10111;5,482227802;3937,700893;0,943646385925068;1,07072135785007;1,09323373024436;1,01861242449816;0,429370215484525;1,08210959559555;0,516284661345875;2,95;8,96406216045066;21;58
"66";"Hungary";0,828350453189915;75,2;15,38815;11,63608;22915,76394;0,976055746012807;1,1006993006993;1,03582174433445;0,92479042090193;0,602308259031113;0,991579618477008;0,746666653333333;1,43;NA;0;132
"67";"Iceland";0,899412126842021;82,6;18,97689;10,59;35182,11477;0,974750722431183;1,03703703703704;1,11984109714388;1,03760848601736;0,694011819466281;0,993664744005311;0,91085269552611;2,07;NA;0;51
"68";"India";0,608692726635813;68;11,69659;5,39;5497,498571;0,794714383437805;1,04354354354354;0,961988477858165;0,497902097902098;0,244407766340715;0,477569763334511;0,33792239665978;2,45;0,51702589493903;21;115
"69";"Indonesia";0,683759559291754;68,9;12,98776;7,5877435;9788,425338;0,927396606938084;1,06128550074738;1,01574188582982;0,860394924372981;0,496866510648727;0,809883778113577;0,610451346703078;2,31;1,10973495313763;21;74
"70";"Iraq";0,653860838996062;69,4;10,08247;6,38;14003,21961;0,787392946066411;1,06696428571429;0,762032481890429;0,661038961038961;0,181974934519319;0,552568697729988;0,213467033499315;3,97;2,96271038025856;8;88
"71";"Ireland";0,915541561984203;80,9;18,56885;12,2;39568,12085;0,972933293631963;1,05329949238579;0,991597062161796;1,03012552301255;0,61230688497189;1,02492506188465;0,779735677967746;2;NA;0;82
"72";"Israel";0,894272980636247;82,4;15,95261;12,54470158;30675,51109;0,971005090792991;1,04472049689441;1,0658193496037;0,997541536332797;0,57473155045824;0,966886569450108;0,837916103572709;2,88;3,44760898931938;13;97
"73";"Italy";0,873022984102699;83,1;16,04201;10,10184065;33030,22947;0,963520324899735;1,06079404466501;1,06075226132169;0,938837920803553;0,510244403652122;0,884630656344137;0,665546193277311;1,5;NA;0;80
"74";"Jamaica";0,718529601920589;75,7;12,35561;9,67;7414,602613;0,994661319269753;1,06548431105048;1,12850287181287;1,06070287539936;0,642471814711712;1,05338838268793;0,791255251242837;2,24;3,1771528398631;21;38
"75";"Japan";0,890593212589872;83,5;15,32633;11,52;36926,91669;0,961490781997901;1,08104738154613;0,981004168791787;0,970059880239521;0,504132954860032;1,01302203951997;0,693181792048683;1,43;NA;0;55
"76";"Jordan";0,748328541875565;74;13,50864;9,908419609;11365,21619;0,859674550461608;1,04696132596685;1,02704180681788;0,884000548735527;0,190467149127642;0,885069320234902;0,234234245515786;3,18;9,63639718443018;21;48
"77";"Kazakhstan";0,787982452162327;69,4;15,02347;11,42;20867,35416;1,0015487390888;1,14705882352941;1,05110710915092;0,981802426343154;0,576086200238145;0,964582068407205;0,869062844626518;2,43;0,69259398766781;12;35
"78";"Kenya";0,548409284752484;61,6;10,98451;6,27;2761,602872;0,913382584988926;1,05843071786311;0,941729808470843;0,809986130356646;0,689565276703369;0,806067316969547;0,859116015349806;4,31;7,43992181810054;21;123
"79";"Kiribati";0,590236957412795;66;12,31989;7,812116;2433,506834;NA;1,10191082802548;1,06787144384578;NA;NA;NA;NA;2,92;25,0565539123116;21;128
"80";"Kuwait";0,816271767577342;74,4;14,746555;7,206958294;83960,61817;0,971500173205189;1,0312925170068;1,07343642480582;1,02358455586571;0,377648038562859;0,988549759427817;0,524669064825555;2,58;0,023737003021945;12;165
"81";"Latvia";0,818766009538997;74,2;15,24266;11,47896866;22280,51382;1,0293637150809;1,14182344428365;1,08610519058029;1,05189450465365;0,68678903911329;0,999585461062394;0,812130217724783;1,62;NA;0;155
"82";"Lebanon";0,768897837279365;79,3;13,7537;7,917283708;16509,27721;0,898600379788997;1,04768041237113;0,978636343035715;0,924365858398696;0,288858524815611;0,957323935982564;0,328631857645306;1,49;2,25501607492483;16;158
